RTCM0000,1249989.825,1015874.374,872.217,
tower 1,1237093.164,1019287.146,710.708,
tower 2,1236468.119,1019286.889,710.774,
tower 3,1236468.156,1019912.027,710.853,
tower 4,1237093.252,1019911.889,710.752,
