ILUC,1249989.825,1015874.374,872.219,ILUC
SE_0,1236784.963,1019623.437,710.135,
SE_1,1236784.912,1019635.795,709.973,
SE_2,1236784.888,1019649.130,709.818,
SE_3,1236784.754,1019662.024,709.657,
SE_4,1236784.558,1019676.140,709.618,
SE_5,1236784.998,1019690.287,709.454,
SE_6,1236784.458,1019704.486,709.382,
SE_7,1236784.164,1019718.515,709.210,
SE_8,1236784.126,1019732.193,709.209,
SE_9,1236783.622,1019746.461,709.159,
SE_10,1236784.017,1019760.459,709.072,
SE_11,1236783.691,1019774.600,709.093,
SE_12,1236783.303,1019788.856,709.104,
SE_13,1236782.915,1019802.562,709.192,
SE_14,1236782.999,1019817.170,709.333,
SE_15,1236782.634,1019831.775,709.597,
SE_16,1236782.545,1019846.131,709.711,
SE_17,1236782.395,1019866.305,709.893,
SE_18,1236769.294,1019866.011,709.923,
SE_19,1236768.588,1019851.410,709.849,
SE_20,1236768.707,1019836.754,709.650,
SE_21,1236768.514,1019821.580,709.429,
SE_22,1236768.904,1019807.418,709.219,
SE_23,1236768.575,1019791.848,709.184,
SE_24,1236768.727,1019777.553,709.067,
SE_25,1236768.761,1019762.482,708.960,
SE_26,1236768.724,1019748.596,709.076,
SE_27,1236768.603,1019733.843,709.164,
SE_28,1236768.649,1019719.413,709.201,
SE_29,1236768.574,1019704.609,709.268,
SE_30,1236768.246,1019689.512,709.454,
SE_31,1236768.444,1019674.389,709.585,
SE_32,1236768.419,1019659.252,709.650,
SE_33,1236768.036,1019644.239,709.751,
SE_34,1236767.867,1019629.456,709.864,
SE_35,1236767.967,1019623.116,709.994,
SE_36,1236755.620,1019623.219,710.081,
SE_37,1236755.733,1019636.667,709.948,
SE_38,1236755.471,1019651.077,709.799,
SE_39,1236755.892,1019665.512,709.685,
SE_40,1236755.909,1019679.813,709.630,
SE_41,1236755.941,1019694.691,709.426,
SE_42,1236755.920,1019709.942,709.288,
SE_43,1236755.997,1019725.018,709.228,
SE_44,1236756.035,1019740.659,709.130,
SE_45,1236756.262,1019755.706,709.082,
SE_46,1236755.898,1019770.847,709.104,
SE_47,1236755.944,1019786.237,709.112,
SE_48,1236755.994,1019801.376,709.225,
SE_49,1236756.080,1019816.798,709.321,
SE_50,1236756.130,1019831.168,709.564,
SE_51,1236756.049,1019845.561,709.780,
SE_52,1236756.024,1019865.506,710.142,
SE_53,1236741.364,1019865.351,710.258,
SE_54,1236741.167,1019850.191,710.056,
SE_55,1236741.461,1019835.156,709.781,
SE_56,1236741.321,1019818.924,709.518,
SE_57,1236741.151,1019803.272,709.274,
SE_58,1236741.336,1019788.115,709.229,
SE_59,1236740.961,1019772.994,709.092,
SE_60,1236741.263,1019758.196,709.087,
SE_61,1236740.926,1019742.795,709.164,
SE_62,1236741.103,1019727.326,709.282,
SE_63,1236741.114,1019711.578,709.440,
SE_64,1236741.179,1019695.273,709.554,
SE_65,1236741.144,1019679.005,709.716,
SE_66,1236741.166,1019663.411,709.890,
SE_67,1236740.994,1019647.001,709.871,
SE_68,1236740.836,1019631.436,710.246,
SE_69,1236740.665,1019623.318,710.194,
SE_70,1236725.518,1019623.598,710.122,
SE_71,1236725.527,1019638.321,710.014,
SE_72,1236725.699,1019653.797,709.999,
SE_73,1236725.810,1019669.519,709.824,
SE_74,1236725.897,1019684.530,709.724,
SE_75,1236726.077,1019698.142,709.595,
SE_76,1236726.015,1019713.231,709.375,
SE_77,1236725.806,1019727.992,709.206,
SE_78,1236726.005,1019743.237,709.132,
SE_79,1236726.063,1019758.448,709.074,
SE_80,1236725.988,1019773.755,709.090,
SE_81,1236726.198,1019787.906,709.139,
SE_82,1236726.208,1019803.361,709.270,
SE_83,1236726.067,1019818.246,709.438,
SE_84,1236726.024,1019833.920,709.689,
SE_85,1236725.726,1019848.979,710.142,
SE_86,1236725.259,1019865.437,710.389,
SE_87,1236711.059,1019865.422,710.414,
SE_88,1236711.057,1019847.654,710.077,
SE_89,1236711.357,1019832.586,709.843,
SE_90,1236711.339,1019816.830,709.577,
SE_91,1236711.198,1019800.927,709.332,
SE_92,1236711.097,1019785.260,709.202,
SE_93,1236711.214,1019769.682,709.179,
SE_94,1236711.212,1019753.949,709.186,
SE_95,1236711.254,1019738.276,709.236,
SE_96,1236711.273,1019738.309,709.212,
SE_97,1236710.871,1019723.411,709.399,
SE_98,1236710.695,1019707.863,709.534,
SE_99,1236710.512,1019690.301,709.693,
SE_100,1236710.423,1019672.300,709.912,
SE_101,1236710.754,1019655.087,709.995,
SE_102,1236710.062,1019636.607,710.132,
SE_103,1236709.555,1019623.100,710.144,
SE_104,1236693.701,1019624.327,710.100,
SE_105,1236693.972,1019642.955,709.900,
SE_106,1236693.280,1019661.687,709.923,
SE_107,1236693.436,1019679.890,709.821,
SE_108,1236693.565,1019697.491,709.535,
SE_109,1236693.531,1019716.189,709.299,
SE_110,1236693.355,1019735.679,709.072,
SE_111,1236693.446,1019753.384,709.046,
SE_112,1236693.618,1019771.126,709.001,
SE_113,1236693.818,1019789.568,709.099,
SE_114,1236694.117,1019807.957,709.245,
SE_115,1236693.637,1019826.351,709.537,
SE_116,1236693.777,1019843.996,709.872,
SE_117,1236693.451,1019863.546,710.346,
SE_118,1236675.901,1019862.596,710.183,
SE_119,1236676.196,1019846.206,709.721,
SE_120,1236676.068,1019825.001,709.385,
SE_121,1236676.066,1019804.335,709.207,
SE_122,1236676.188,1019782.227,709.031,
SE_123,1236676.514,1019762.402,709.022,
SE_124,1236676.411,1019742.927,709.165,
SE_125,1236676.588,1019723.937,709.285,
SE_126,1236676.156,1019703.820,709.511,
SE_127,1236676.283,1019682.778,709.771,
SE_128,1236676.435,1019662.958,709.985,
SE_129,1236676.753,1019642.440,710.030,
SE_130,1236676.106,1019623.065,710.008,
SE_131,1236658.535,1019623.738,709.983,
SE_132,1236658.494,1019642.886,709.902,
